,SeniorCitizen,tenure,MonthlyCharges,TotalCharges
count,7043.0,7043.0,7043.0,7043.0
mean,0.1621468124378816,0.44959928692003087,-6.406284782161914e-17,8.070909961778789e-17
std,0.3686116056100131,0.3411039030985341,1.0000710000355895,1.0000710000355895
min,0.0,0.0,-1.5458598200734601,-0.9998503146529888
25%,0.0,0.125,-0.9725398550161476,-0.8305557541479359
50%,0.0,0.40277777777777773,0.1857326540996401,-0.3897629208266685
75%,0.0,0.7638888888888888,0.8338334841644282,0.6637554624114655
max,1.0,1.0,1.7943521502604476,2.8264694645392616
